,ServiceTag,UUID,SerialNumber,HostName,Model,Manufacturer,ProcessorModel,ProcessorCount,LogicalProcessorCount,TotalSystemMemoryGiB,NIC_1_PermanentMACAddress,NIC_2_PermanentMACAddress,Bmc_Ip_Addr,BmcModel,BmcFirmwareVersion,Status
380,,4c4c4544-0052-4710-804c-b6c04f514432,CN747516550680,cpu-8-54,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B9:36:04,7C:D3:0A:B9:36:06,10.101.8.54,13G DCS,2.75.75.75,OK
381,,4c4c4544-0052-4710-804b-b6c04f514432,CN747516680383,cpu-8-55,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:DA:60,7C:D3:0A:BB:DA:62,10.101.8.55,13G DCS,2.75.75.75,OK
382,,4c4c4544-0052-4710-804a-b6c04f514432,CN747516680264,cpu-8-56,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BB:D8:5C,7C:D3:0A:BB:D8:5E,10.101.8.56,13G DCS,2.75.75.75,OK
383,,4c4c4544-004e-4b10-8050-b7c04f514432,CN7475165J0040,cpu-8-57,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:68:EC,7C:D3:0A:BA:68:EE,10.101.8.57,13G DCS,2.75.75.75,OK
384,,4c4c4544-004e-4b10-8051-b7c04f514432,CN7475165L0056,cpu-8-58,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:6B:BC,7C:D3:0A:BA:6B:BE,10.101.8.58,13G DCS,2.75.75.75,OK
385,,4c4c4544-004e-4b10-804e-b7c04f514432,CN7475165K0059,cpu-8-59,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:63:3A,7C:D3:0A:BA:63:3C,10.101.8.59,13G DCS,2.75.75.75,OK
386,,4c4c4544-004e-4a10-8054-b7c04f514432,CN7475165K0022,cpu-8-60,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:60:CA,7C:D3:0A:BA:60:CC,10.101.8.60,13G DCS,2.75.75.75,OK
387,,4c4c4544-004d-4410-8053-b7c04f514432,CN7475165K0843,cpu-9-1,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:5B:F6,7C:D3:0A:BA:5B:F8,10.101.9.1,13G DCS,2.75.75.75,OK
388,,4c4c4544-004e-4b10-8054-b7c04f514432,CN7475165K0401,cpu-9-2,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:56:44,7C:D3:0A:BA:56:46,10.101.9.2,13G DCS,2.75.75.75,OK
389,,ffffffff-ffff-ffff-ffff-ffffffffffff,CN7475164R0225,cpu-9-3,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:B8:18:9C,7C:D3:0A:B8:18:9E,10.101.9.3,13G DCS,2.75.75.75,OK
390,,4c4c4544-004d-4410-8051-b7c04f514432,CN7475167M0098,cpu-9-4,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BF:0D:60,7C:D3:0A:BF:0D:62,10.101.9.4,13G DCS,2.75.75.75,OK
391,,4c4c4544-004e-4c10-804e-b7c04f514432,CN7475165K0512,cpu-9-5,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:56:86,7C:D3:0A:BA:56:88,10.101.9.5,13G DCS,2.75.75.75,OK
392,,4c4c4544-004d-4410-8050-b7c04f514432,CN7475165K0081,cpu-9-6,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:5D:5E,7C:D3:0A:BA:5D:60,10.101.9.6,13G DCS,2.75.75.75,OK
393,,4c4c4544-0054-3510-8046-b5c04f303832,CN7475157G0236,cpu-9-7,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,00:8C:FA:F2:15:98,00:8C:FA:F2:15:9A,10.101.9.7,13G DCS,2.75.75.75,OK
394,,4c4c4544-004e-4b10-8053-b7c04f514432,CN7475165K0308,cpu-9-8,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:5A:E8,7C:D3:0A:BA:5A:EA,10.101.9.8,13G DCS,2.75.75.75,OK
395,,4c4c4544-004e-4a10-8050-b7c04f514432,CN7475165K0814,cpu-9-9,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:52:5A,7C:D3:0A:BA:52:5C,10.101.9.9,13G DCS,2.75.75.75,OK
396,,4c4c4544-004e-4a10-8051-b7c04f514432,CN7475165K0329,cpu-9-10,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:5B:4E,7C:D3:0A:BA:5B:50,10.101.9.10,13G DCS,2.75.75.75,OK
397,,4c4c4544-004e-4a10-8052-b7c04f514432,CN7475165K0964,cpu-9-11,PowerEdge C6320,Dell Inc.,Intel(R) Xeon(R) CPU E5-2695 v4 @ 2.10GHz,2,36,178.814016,7C:D3:0A:BA:69:4C,7C:D3:0A:BA:69:4E,10.101.9.11,13G DCS,2.75.75.75,OK
