 Partition        NodeList     Group      User    JobName        JobID              Submit               Start                 End ExitCode CPUTimeRAW TRESUsageInTot TRESUsageOutTot  MaxVMSize  AllocCPUS   NTasks    Cluster TimelimitR     ReqMem 
---------- --------------- --------- --------- ---------- ------------ ------------------- ------------------- ------------------- -------- ---------- -------------- --------------- ---------- ---------- -------- ---------- ---------- ---------- 
                  gpu-21-3                         extern 8233.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-21-3                         run.sh 8233.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:0+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-4      chem    rliang      job14 8234         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-4                          batch 8234.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-4                         extern 8234.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-21-4                         run.sh 8234.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:44     0:15     158457 cpu=1-19:48:4+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
   matador        gpu-21-5      chem    rliang      job15 8235         2020-10-31T11:11:46 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424                                                    1           redraider       2640     9639Mc 
                  gpu-21-5                          batch 8235.batch   2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:12     0:15     158425 cpu=00:00:00,+ energy=0,fs/di+    143524K          1        1  redraider                9639Mc 
                  gpu-21-5                         extern 8235.extern  2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:11      0:0     158424 cpu=00:00:00,+ energy=0,fs/di+    143220K          1        1  redraider                9639Mc 
                  gpu-21-5                         run.sh 8235.0       2020-10-31T11:11:47 2020-10-31T11:11:47 2020-11-02T06:12:43     0:15     158456 cpu=1-19:47:3+ energy=0,fs/di+    146436K          1        1  redraider                9639Mc 
